"Step","base_config_0118 - train_10m_u_component_of_wind_lwrmse","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MIN","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MAX"
"34871","1.6013935918645816","1.5807166459165936","1.62207053781257"
"34874","1.5314373083977433","1.5183982241083673","1.5444763926871192"
"34877","1.5620422764093531","1.5329777907463795","1.5911067620723265"
"34880","1.520465905939079","1.5143797424669347","1.5265520694112231"
"34883","1.5371682774764064","1.5371682774764064","1.5371682774764064"
"34886","1.545437799181728","1.545437799181728","1.545437799181728"
"34889","1.5454925690961805","1.5310463053966679","1.5599388327956931"
"34892","1.4988653859163539","1.4968885008281803","1.5008422710045273"
"34895","1.5098331002470111","1.5083826638239595","1.5112835366700628"
"34898","1.5337908578505264","1.5178004245615526","1.5497812911395004"
"34901","1.5309168101099178","1.5014543739181196","1.5603792463017156"
"34904","1.5280928445538722","1.5187215911028331","1.5374640980049112"
"34907","1.5458606534451547","1.5299630866019298","1.5617582202883797"
"34910","1.5487212429493822","1.5487212429493822","1.5487212429493822"
"34913","1.541773231940286","1.523359843024633","1.560186620855939"
"34916","1.5635929195729674","1.5635929195729674","1.5635929195729674"
"34919","1.5051262117202637","1.5051262117202637","1.5051262117202637"
"34922","1.5274779653978494","1.5274779653978494","1.5274779653978494"
"34925","1.5357564672146937","1.5357564672146937","1.5357564672146937"
"34928","1.5217552041671398","1.5217552041671398","1.5217552041671398"
"34931","1.5396497924287784","1.5396497924287784","1.5396497924287784"
"34934","1.5410761150263457","1.5410761150263457","1.5410761150263457"
"34937","1.532209552923486","1.532209552923486","1.532209552923486"
"34943","1.560834156522178","1.560834156522178","1.560834156522178"
"34946","1.573860974202788","1.573860974202788","1.573860974202788"
"34949","1.5657009667161421","1.5657009667161421","1.5657009667161421"
"34952","1.545771788612812","1.545771788612812","1.545771788612812"
"34955","1.5489086836783583","1.5489086836783583","1.5489086836783583"
"34958","1.508169207104575","1.508169207104575","1.508169207104575"
"34961","1.5941501978609778","1.5941501978609778","1.5941501978609778"
"34964","1.552102871314234","1.552102871314234","1.552102871314234"
"34967","1.5577640102639667","1.5577640102639667","1.5577640102639667"
