"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocatedBytes","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.1.memoryAllocatedBytes","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.2.memoryAllocatedBytes","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.3.memoryAllocatedBytes","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MAX"
"210.400963","34129969152","34129969152","34129969152","33444200448","33444200448","33444200448","34142552064","34142552064","34142552064","33456783360","33456783360","33456783360"
"210.415375","33484605576.53","33484605576.53","33484605576.53","33446856840.53","33446856840.53","33446856840.53","33497328298.67","33497328298.67","33497328298.67","33459439752.53","33459439752.53","33459439752.53"
"210.41591","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"210.422962","33482228804.27","33482228804.27","33482228804.27","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"210.434039","33481949184","33481949184","33481949184","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","34104803328","34104803328","34104803328"
"210.436032","33486003677.87","33486003677.87","33486003677.87","33448254941.87","33448254941.87","33448254941.87","34146746368","34146746368","34146746368","33460837853.87","33460837853.87","33460837853.87"
"210.465991","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"210.509192","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"240.394134","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"240.401957","34129969152","34129969152","34129969152","33444200448","33444200448","33444200448","34142552064","34142552064","34142552064","33456783360","33456783360","33456783360"
"240.416398","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"240.423815","33484046336","33484046336","33484046336","33444200448","33444200448","33444200448","33494532096","33494532096","33494532096","33456783360","33456783360","33456783360"
"240.435107","33485584247.47","33485584247.47","33485584247.47","33447416081.07","33447416081.07","33447416081.07","33497747729.07","33497747729.07","33497747729.07","34108018961.07","34108018961.07","34108018961.07"
"240.437888","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
"240.459708","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"240.473715","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"240.513271","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"270.398923","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"270.403343","34133464405.33","34133464405.33","34133464405.33","33447695701.33","33447695701.33","33447695701.33","34146047317.33","34146047317.33","34146047317.33","33460278613.33","33460278613.33","33460278613.33"
"270.417688","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"270.424761","33487821209.6","33487821209.6","33487821209.6","33447975321.6","33447975321.6","33447975321.6","33498306969.6","33498306969.6","33498306969.6","33460558233.6","33460558233.6","33460558233.6"
"270.438903","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
"270.460727","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"270.480304","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"270.514256","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"271.092708","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"300.404415","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
"300.408815","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"300.41919","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"300.428378","33488240640","33488240640","33488240640","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"300.440879","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
"300.461659","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"300.483212","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"300.51517","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"301.215458","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"330.407564","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
"330.417803","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"330.42013","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"330.431997","33488240640","33488240640","33488240640","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"330.462664","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"330.485686","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"330.51614","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"331.216411","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"360.408497","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
