"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"2070.548271","92.27","92.27","92.27"
"2070.760062","98.33","98.33","98.33"
"2072.277488","99.67","99.67","99.67"
"2100.553147","100","100","100"
"2100.76321","93","93","93"
"2102.283719","94.8","94.8","94.8"
"2130.556683","99.8","99.8","99.8"
"2130.770649","85.07","85.07","85.07"
"2132.285278","99.8","99.8","99.8"
"2160.559792","99.47","99.47","99.47"
"2162.301829","97.13","97.13","97.13"
"2190.564921","92.8","92.8","92.8"
"2190.778568","99.87","99.87","99.87"
"2192.344907","94.93","94.93","94.93"
"2220.56763","99.73","99.73","99.73"
"2220.782226","85.13","85.13","85.13"
"2222.354084","94.67","94.67","94.67"
"2250.568644","100","100","100"
"2250.784756","92.93","92.93","92.93"
"2252.358234","99.87","99.87","99.87"
"2280.599826","99.67","99.67","99.67"
"2280.787725","99.93","99.93","99.93"
"2282.361303","93.33","93.33","93.33"
"2310.602327","99.93","99.93","99.93"
"2310.789573","96.93","96.93","96.93"
"2312.362278","99.6","99.6","99.6"
"2340.603342","99.93","99.93","99.93"
"2340.791714","100","100","100"
"2342.363157","100","100","100"
"2370.604253","100","100","100"
"2370.792746","100","100","100"
"2372.364224","99.67","99.67","99.67"
"2400.644042","100","100","100"
"2400.793687","99.67","99.67","99.67"
"2402.365451","99.8","99.8","99.8"
"2430.647135","99.93","99.93","99.93"
"2430.795034","99.87","99.87","99.87"
"2432.367077","93.33","93.33","93.33"
"2460.796708","99.87","99.87","99.87"
"2462.36955","99.6","99.6","99.6"
"2490.652428","98.8","98.8","98.8"
"2490.79767","100","100","100"
"2492.370478","99.73","99.73","99.73"
"2520.654968","93.93","93.93","93.93"
"2520.800666","99.67","99.67","99.67"
"2522.371808","99.93","99.93","99.93"
"2550.66858","99.33","99.33","99.33"
"2550.803677","100","100","100"
"2552.377374","93.33","93.33","93.33"
"2580.676679","90.2","90.2","90.2"
"2580.806725","98.33","98.33","98.33"
"2582.378368","99.67","99.67","99.67"
"2610.677673","100","100","100"
"2610.811488","90.33","90.33","90.33"
"2612.379552","99.8","99.8","99.8"
"2640.680639","99.93","99.93","99.93"
"2640.813595","96.4","96.4","96.4"
"2642.380523","99.6","99.6","99.6"
"2670.6847","97.4","97.4","97.4"
"2671.422476","97.87","97.87","97.87"
"2672.381568","96.2","96.2","96.2"
"2700.686953","97.6","97.6","97.6"
"2702.199443","81","81","81"
"2702.384345","99.27","99.27","99.27"
"2730.688931","95.33","95.33","95.33"
