"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocated","base_config_0118 - system/gpu.0.memoryAllocated__MIN","base_config_0118 - system/gpu.0.memoryAllocated__MAX","base_config_0118 - system/gpu.1.memoryAllocated","base_config_0118 - system/gpu.1.memoryAllocated__MIN","base_config_0118 - system/gpu.1.memoryAllocated__MAX","base_config_0118 - system/gpu.2.memoryAllocated","base_config_0118 - system/gpu.2.memoryAllocated__MIN","base_config_0118 - system/gpu.2.memoryAllocated__MAX","base_config_0118 - system/gpu.3.memoryAllocated","base_config_0118 - system/gpu.3.memoryAllocated__MIN","base_config_0118 - system/gpu.3.memoryAllocated__MAX"
"1140.580739","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1170.47898","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1170.501413","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1170.585664","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1200.491261","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1200.502512","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1200.593","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1230.503428","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1230.54041","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1230.604793","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1260.504783","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1260.570599","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1260.607739","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1290.506588","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1290.573278","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
