"Step","base_config_0118 - train_geopotential_level1000hPa_lwrmse","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MIN","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MAX"
"34772","130.77352803702965","125.78343158267998","135.03305791755716"
"34775","130.46579958791602","129.00671912496176","132.0743699953444"
"34778","129.69371071437533","126.02561592379874","133.36180550495192"
"34781","126.1881730324763","125.03194907134798","127.81797034321033"
"34784","127.68222505002934","123.78478932417453","132.1168359489478"
"34787","127.48213732087902","124.69463610239832","130.8531263584894"
"34790","128.92984549944092","126.58807592916348","130.83716830495158"
"34793","131.0418731482126","127.66768778943405","134.059492761176"
"34796","128.09520290852322","126.58739304612405","129.92746757154546"
"34799","128.36742955884588","127.36663088786747","130.1376547872182"
"34802","128.4933951602524","126.38515046326106","130.8257157876028"
"34805","131.73500980321884","128.1183107550072","134.1069149283511"
"34808","128.6561443546003","125.51959957141591","132.96907533092025"
"34811","132.49682629243034","126.43728556551753","141.7920956941385"
"34814","129.61769391954456","122.48926598967181","136.93899921037146"
"34817","134.88954710542495","129.18886828536856","138.37565429754943"
"34820","133.76254427456135","132.45922479643488","134.5198384694631"
"34823","130.69804093848492","129.34031529898766","133.4096177642711"
"34826","134.62850522106365","131.46007296668932","137.92330392768116"
"34829","127.91733509977666","127.21703320526734","129.15863086260973"
"34832","130.07478336163683","125.23433050874743","132.78315089930396"
"34835","127.44557529183761","126.30153724496614","128.49542963475227"
"34838","133.42957998300372","131.87223987034076","134.30256773008358"
"34841","127.48631130829098","126.93816215852769","128.03446045805427"
"34844","137.13173929210302","136.3240889318458","137.9393896523602"
"34847","136.46720012830482","134.34266060239818","138.84466012621988"
"34850","127.24235140097068","122.15326051599946","131.6111147042564"
"34853","129.64512186254765","128.3659380605262","130.63374786053356"
"34856","131.8462355614695","130.59150677814674","133.1496736498625"
"34859","131.0420281263921","124.41369142362319","138.58797538027528"
"34862","143.83892899701436","138.53294409514734","150.02564924091863"
"34865","130.33397472260114","126.86771322881694","134.7473170949568"
"34868","132.22444652243527","132.0868444754574","132.36204856941313"
"34871","138.59067362230235","137.24958868752893","139.93175855707574"
"34874","129.16556538501905","124.75907509517465","133.57205567486346"
"34877","132.73165776439623","129.79544813025578","135.66786739853669"
"34880","127.91669874088734","126.85706459714898","128.9763328846257"
"34883","127.22738104173243","125.84780779111196","128.6069542923529"
"34886","129.7899416726346","129.61651741359714","129.96336593167203"
"34889","133.06547984496592","129.27741205458403","136.85354763534784"
"34892","123.36992326312878","122.89228288887465","123.8475636373829"
"34895","123.94231283924807","123.83746027755146","124.04716540094469"
"34898","126.91170220825624","124.84838464250035","128.97501977401214"
"34901","129.2266640003599","124.72452663129101","133.72880136942882"
"34904","130.36137912272451","129.34662581958682","131.3761324258622"
"34907","133.26944739185734","132.69388974336115","133.84500504035353"
"34910","136.5664284611237","128.86848482247797","144.26437209976945"
"34913","133.2582217951848","131.28193044466045","135.23451314570914"
"34916","136.40610730039126","136.40610730039126","136.40610730039126"
"34919","126.34978980896113","126.34978980896113","126.34978980896113"
"34922","127.14023957733438","127.14023957733438","127.14023957733438"
"34925","128.46020617677922","128.46020617677922","128.46020617677922"
"34928","125.65986886666667","125.65986886666667","125.65986886666667"
"34931","130.36853372574384","130.36853372574384","130.36853372574384"
"34934","136.37212000646858","136.37212000646858","136.37212000646858"
"34937","132.68718318987808","132.68718318987808","132.68718318987808"
"34940","129.5735455329417","129.5735455329417","129.5735455329417"
"34943","136.79841002209886","136.79841002209886","136.79841002209886"
"34946","133.92756294966438","133.92756294966438","133.92756294966438"
"34949","132.55578155207115","132.55578155207115","132.55578155207115"
"34952","130.15185510987646","130.15185510987646","130.15185510987646"
"34955","131.93858129157366","131.93858129157366","131.93858129157366"
"34958","127.71559672949665","127.71559672949665","127.71559672949665"
"34961","136.74006393596602","136.74006393596602","136.74006393596602"
"34964","137.7626463235269","137.7626463235269","137.7626463235269"
"34967","136.70246964926196","136.70246964926196","136.70246964926196"
"34973","130.26060300967845","130.26060300967845","130.26060300967845"
"34976","128.42008341664481","128.42008341664481","128.42008341664481"
"34979","138.75452632875982","138.75452632875982","138.75452632875982"
"34982","126.83469832213773","126.83469832213773","126.83469832213773"
"34985","127.93572946709642","127.93572946709642","127.93572946709642"
"34988","122.29759417092161","122.29759417092161","122.29759417092161"
"34991","131.9881589568377","131.9881589568377","131.9881589568377"
"34994","126.92387428228116","126.92387428228116","126.92387428228116"
"34997","125.28934688740225","125.28934688740225","125.28934688740225"
"35000","124.55689850760078","124.55689850760078","124.55689850760078"
"35003","129.46731826876618","129.46731826876618","129.46731826876618"
"35006","129.76835659752155","129.76835659752155","129.76835659752155"
"35009","131.1662417592652","131.1662417592652","131.1662417592652"
"35012","132.29168796443946","132.29168796443946","132.29168796443946"
"35015","134.18984892415148","134.18984892415148","134.18984892415148"
"35021","131.58198356506293","131.58198356506293","131.58198356506293"
"35024","129.23856546110792","129.23856546110792","129.23856546110792"
"35027","125.71356263467663","125.71356263467663","125.71356263467663"
"35030","129.88256886204402","129.88256886204402","129.88256886204402"
"35033","127.13057045472166","127.13057045472166","127.13057045472166"
"35036","137.22962451016528","137.22962451016528","137.22962451016528"
"35039","130.9236053434454","130.9236053434454","130.9236053434454"
"35042","136.98103212457448","136.98103212457448","136.98103212457448"
"35045","130.58826103816457","130.58826103816457","130.58826103816457"
"35051","126.53063764898796","126.53063764898796","126.53063764898796"
"35054","130.64349237343356","130.64349237343356","130.64349237343356"
"35057","127.72104416192359","127.72104416192359","127.72104416192359"
"35060","125.37095152896654","125.37095152896654","125.37095152896654"
"35063","128.48076210788642","128.48076210788642","128.48076210788642"
"35066","132.29291383456376","132.29291383456376","132.29291383456376"
"35069","124.01648575471809","124.01648575471809","124.01648575471809"
"35072","125.84289627956433","125.84289627956433","125.84289627956433"
"35075","130.24283861729253","130.24283861729253","130.24283861729253"
"35078","132.4622846156728","132.4622846156728","132.4622846156728"
"35081","142.48629312295435","142.48629312295435","142.48629312295435"
"35084","131.97201248148252","131.97201248148252","131.97201248148252"
"35087","131.32828140874778","131.32828140874778","131.32828140874778"
"35090","135.19355964077513","135.19355964077513","135.19355964077513"
"35099","127.01670097571133","127.01670097571133","127.01670097571133"
"35102","130.6700246830844","130.6700246830844","130.6700246830844"
"35105","135.01085351238856","135.01085351238856","135.01085351238856"
"35108","128.39939925390155","128.39939925390155","128.39939925390155"
"35111","130.3799633276875","130.3799633276875","130.3799633276875"
"35117","138.23729632625904","138.23729632625904","138.23729632625904"
"35120","132.8191007908718","132.8191007908718","132.8191007908718"
"35123","132.40397697571748","132.40397697571748","132.40397697571748"
"35126","126.05611842984887","126.05611842984887","126.05611842984887"
"35129","138.2166467376598","138.2166467376598","138.2166467376598"
"35135","127.27029316118079","127.27029316118079","127.27029316118079"
"35138","127.17053429006556","127.17053429006556","127.17053429006556"
"35141","127.41099882597808","127.41099882597808","127.41099882597808"
"35144","131.2530541696971","131.2530541696971","131.2530541696971"
"35147","139.6150644422264","139.6150644422264","139.6150644422264"
"35150","134.59081279626668","134.59081279626668","134.59081279626668"
"35153","130.15943649653582","130.15943649653582","130.15943649653582"
"35159","133.9774947837892","133.9774947837892","133.9774947837892"
"35162","129.65478542665429","129.65478542665429","129.65478542665429"
"35165","126.79157598082266","126.79157598082266","126.79157598082266"
"35168","133.8977210130307","133.8977210130307","133.8977210130307"
"35171","132.73181442997205","132.73181442997205","132.73181442997205"
"35174","127.13406930780069","127.13406930780069","127.13406930780069"
"35177","126.45315808264326","126.45315808264326","126.45315808264326"
"35180","124.70737175723602","124.70737175723602","124.70737175723602"
"35186","127.87230974150039","127.87230974150039","127.87230974150039"
"35189","126.83014067587861","126.83014067587861","126.83014067587861"
"35192","129.86710219095787","129.86710219095787","129.86710219095787"
"35198","139.87239521888887","139.87239521888887","139.87239521888887"
"35201","134.73590022613905","134.73590022613905","134.73590022613905"
"35204","138.93680724794228","138.93680724794228","138.93680724794228"
"35207","127.80693772652923","127.80693772652923","127.80693772652923"
"35210","137.13173774092633","137.13173774092633","137.13173774092633"
